title,artist,track_id,bpm,danceability,energy
POOKIE'S REQUIEM,SAILORR,0Cu1FFIqiLPHXDLCxTUUnR,N/A,N/A,N/A
Oscar Winning Tears.,RAYE,0iO2iCAjtX0t5duvczNQt6,N/A,N/A,N/A
Cyber Truck,Kodak Black,4DpqKZHmMLx1YN8ieULMp9,N/A,N/A,N/A
Whites,Masicka,4Sf6Kt4Tnskbszxl7hui7t,N/A,N/A,N/A
Get It Sexyy,Sexyy Red,2MjXWroB9wlTG2kqv3avfS,N/A,N/A,N/A
Good News,Shaboozey,54p6vNJwGkt4FTaM8SCsxt,N/A,N/A,N/A
Paint The Town Blue (from the series Arcane League of Legends),Ashnikko,0g0qfC3nAaIsfbxS29ksJx,N/A,N/A,N/A
Enough (Miami),Cardi B,7pDfRnoEDRkcz7bQsOjnPc,N/A,N/A,N/A
prove it,21 Savage,5wttBUDyaHAR5q9fYnN3YF,N/A,N/A,N/A
N95,Kendrick Lamar,2FeBslNBMdR9V58uv6hd2t,N/A,N/A,N/A
TORE UP,Don Toliver,1jKXjxMWlq4BhH6f9GtZbu,N/A,N/A,N/A
BOP (feat. GloRilla),Big Boogie,0mpDXW1y4X7MlyPecWAlzJ,N/A,N/A,N/A
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,1yeB8MUNeLo9Ek1UEpsyz6,N/A,N/A,N/A
Johnny Dang (with Paul Wall & DRODi),That Mexican OT,1kwPxt35W7cG3rryxR48PO,N/A,N/A,N/A
2AM,BigXthaPlug,26TX1oZbaDeKxfTYDclSAo,N/A,N/A,N/A
1000 Blunts,$uicideboy$,09riz9pAPJyYYDVynE5xxY,N/A,N/A,N/A
Mr Pot Scraper,BossMan Dlow,3yX73YM73j5BF6gIcqZdM7,N/A,N/A,N/A
In A Minute,Lil Baby,5XmwzDNDrhlIRv3eHiitTo,N/A,N/A,N/A
"Dum, Dumb, and Dumber (with Young Thug & Future)",Lil Baby,4IKvw1OdeTJIN3g4zWE38f,N/A,N/A,N/A
Miles On It,Marshmello,4pkb8SbRGeHAvdb87v9rpf,N/A,N/A,N/A
Set It Off,Boosie Badazz,6Efmq0wDgijxWFdBkzIOvb,N/A,N/A,N/A
Count Me Out,Kendrick Lamar,7pj6P5WnxkZsw3XRc8eMe1,N/A,N/A,N/A
Brokey,Latto,6g7vo9RiTkmCDHywj9HKEW,N/A,N/A,N/A
Peaches & Eggplants (feat. 21 Savage),Young Nudy,1KUZ33cOqk3X4Ezk0aZnVp,N/A,N/A,N/A
Finesse,BossMan Dlow,7FCBaE2gGhlWUzUaROPqoV,N/A,N/A,N/A
Tobey (feat. Big Sean and BabyTron),Eminem,4KWeGKChLKcnZsj3sIOSkW,N/A,N/A,N/A
Jimmy Cooks (feat. 21 Savage),Drake,3F5CgOj3wFlRv51JsHbxhe,N/A,N/A,N/A
HOTEL LOBBY (Unc & Phew),Quavo,0kJPY8z670GuFpaebjh5Zr,N/A,N/A,N/A
Or What,NLE Choppa,3lUYO6zvXI88sNDpyKvIJ2,N/A,N/A,N/A
Self Esteem (Remix)[feat. NLE Choppa],Lambo4oe,1hnNjI1da0xqGhR81JFVdx,N/A,N/A,N/A
nuts (feat. rainy bear),Lil Peep,2SabxRgV7VMc1LRHgw0HIo,N/A,N/A,N/A
Tailor Swif,A$AP Rocky,5xMjhZKSo8yh5r9b5vrYRr,N/A,N/A,N/A
GOT DAMN,Gunna,6D1Pr14PtFHoj6gBEoOfQP,N/A,N/A,N/A
KEEP UP,Odetari,2yR2sziCF4WEs3klW1F38d,N/A,N/A,N/A
EVIL EMPIRE (feat. DD Osama),Lil Mabu,6591oPA9nKFawSWOcQcL8A,N/A,N/A,N/A
Bigger In Texas,Megan Thee Stallion,0XW9AyYhwwUyBYFvRfrfIs,N/A,N/A,N/A
Not So Bad (Leans Gone Cold),Rae Sremmurd,4qZLvqy5Wg4sgQ9gKusb1B,N/A,N/A,N/A
If We Being Rëal,Yeat,0YThXX1dqUpYBLyJNAsF9N,N/A,N/A,N/A
Missing Everything,YoungBoy Never Broke Again,720XllkKq9Pmjk1KOS7Z0F,N/A,N/A,N/A
Last Of My Kind (feat. Paul Cauthen),Shaboozey,5BmmDKMuVvqENYA6g750OX,N/A,N/A,N/A
